Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR02;ZAR DIJON;FR26005;Dijon Péjoces;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;6.0;6.114993834771912;µg-m3;93.0;100.0;93.0;R;1;47.307368;5.065881
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR26012;Morvan;Rurale nationale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;5.0;4.893475594800092;µg-m3;94.0;99.0;93.0;R;1;47.274762;4.099476
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR26019;Auxerre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;7.815756375917099;µg-m3;98.0;100.0;98.0;R;1;47.800575;3.576189
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR02;ZAR DIJON;FR26094;Dijon Ardennes;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;5.0;4.647404802328415;µg-m3;94.0;100.0;94.0;R;1;47.351367;5.070706
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR27007;Bourgoin-Jallieu;Urbaine;PM2.5;Fond;Oui;mesures indicatives;Moy. annuelle;10.0;9.73119935170178;µg-m3;;;;N;-1;45.60822;5.270872
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAR02;ZAR VALLEE-DU-RHONE;FR27011;A7 Salaise Ouest;Périurbaine;PM2.5;Trafic;Oui;mesures indicatives;Moy. annuelle;10.0;9.688647704590823;µg-m3;;;;R;1;45.344078;4.807481
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR28010;Harnes Serres;Périurbaine;PM2.5;Fond;Oui;mesures indicatives;Moy. annuelle;9.0;9.11380733216948;µg-m3;;;;R;1;50.44914;2.9
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR04;ZAR ARRAS;FR28022;St-Laurent-Blangy;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;7.0;7.325813295615235;µg-m3;97.0;84.0;81.0;N;-1;50.30886;2.807369
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR28028;Bethune Stade;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;10.221030640668513;µg-m3;67.0;98.0;66.0;N;-1;50.535385;2.635692
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG03;ZAG SAINT-ETIENNE;FR29424;SAINT ETIENNE SUD;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;8.44706289671088;µg-m3;99.0;99.0;99.0;R;1;45.42009;4.395422
