Commune,pm10,pm25,no2
LA FERTE GAUCHER,15,8,6
LA FERTE SOUS JOUARRE,15,9,7
LA FORET LE ROI,15,8,10
LA FORET STE CROIX,15,8,9
LA FRETTE SUR SEINE,20,10,19
LA GARENNE COLOMBES,22,12,29
LA GENEVRAYE,15,8,6
LA GRANDE PAROISSE,15,9,6
LA HAUTE MAISON,15,9,7
LA HAUTEVILLE,14,8,7
LA HOUSSAYE EN BRIE,15,8,8
LA MADELEINE SUR LOING,15,8,6
LA NORVILLE,18,9,23
LA QUEUE EN BRIE,17,10,18
LA QUEUE LES YVELINES,14,8,10
LA ROCHE GUYON,15,9,10
LA ROCHETTE,14,8,13
LA TOMBE,16,9,6
LA TOUR DU CRIEU,15,8,9
LA TRETOIRE,15,8,6
LA VERRIERE,14,8,14
LA VILLE DU BOIS,18,9,26
LA VILLENEUVE EN CHEVRIE,15,9,11
LABBEVILLE,18,9,12
LAGNY SUR MARNE,17,9,15
LAINVILLE EN VEXIN,16,9,10
LANOUX,18,10,22
LAPENNE,,,
LARCHANT,15,8,7
LARDY,15,8,15
LASSERRE,18,11,27
LASSY,20,10,15
LAVAL EN BRIE,15,8,6
LE BELLAY EN VEXIN,17,9,9
LE BLANC MESNIL,21,11,29
LE BOURGET,22,12,37
LE CHATELET EN BRIE,15,9,14
LE CHESNAY,19,11,29
LE COUDRAY MONTCEAUX,16,9,20
LE HEAULME,17,9,9
LE KREMLIN BICETRE,19,12,33
LE MAS D AZIL,,,
LE MEE SUR SEINE,17,9,16
LE MESNIL AMELOT,20,10,25
LE MESNIL AUBRY,22,10,17
LE MESNIL LE ROI,24,10,20
LE MESNIL ST DENIS,14,8,14
LE PECQ,19,10,22
LE PERCHAY,17,9,10
LE PERRAY EN YVELINES,15,8,12
LE PERREUX SUR MARNE,18,11,27
LE PIN,19,10,23
LE PLESSIS AUX BOIS,17,9,13
LE PLESSIS BOUCHARD,21,11,19
LE PLESSIS FEU AUSSOUX,15,8,7
LE PLESSIS GASSOT,22,11,19
LE PLESSIS L EVEQUE,17,9,13
LE PLESSIS LUZARCHES,20,10,15
LE PLESSIS PATE,17,9,23
LE PLESSIS PLACY,16,9,8
LE PLESSIS ROBINSON,18,10,25
LE PLESSIS TREVISE,17,10,19
LE PORT MARLY,21,11,27
LE PRE ST GERVAIS,22,13,33
LE RAINCY,20,11,26
LE TARTRE GAUDRAN,14,8,7
LE TERTRE ST DENIS,15,8,8
LE THILLAY,22,11,23
LE TREMBLAY SUR MAULDRE,14,8,10
LE VAL ST GERMAIN,14,8,14
LE VAUDOUE,15,8,7
LE VESINET,19,11,24
LECHELLE,15,8,5
LES ALLUETS LE ROI,15,9,13
LES BREVIAIRES,14,8,8
LES CHAPELLES BOURBON,15,8,8
LES CLAYES SOUS BOIS,15,9,13
LES ECRENNES,15,8,8
LES ESSARTS LE ROI,14,8,11
LES GRANGES LE ROI,16,8,13
LES LILAS,21,12,30
LES LOGES EN JOSAS,16,9,18
LES MARETS,15,8,5
LES MESNULS,14,8,9
LES MOLIERES,20,8,19
LES MUREAUX,18,9,16
LES ORMES SUR VOULZIE,15,9,5
LES PAVILLONS SOUS BOIS,22,11,29
LES ULIS,15,9,19
LESCHEROLLES,15,8,5
LESCHES,18,10,14
LESCOUSSE,,,
LESIGNY,16,9,23
LEUDEVILLE,15,9,19
LEUDON EN BRIE,15,8,5
LEUVILLE SUR ORGE,16,9,23
LEVALLOIS PERRET,23,13,29
